hotel_id,name,ranking_position,stars,review_score,review_count,price,currency,latitude,longitude
2193502,Hyatt Regency Amsterdam,0,5,8.4,2869,580.97,USD,52.361798,4.911744
10014507,Chasse Residency Hotel,1,4,8.9,3874,303.13,USD,52.351902,4.924964
10502,Swissôtel Amsterdam,2,4,8.1,3679,432.32,USD,52.3735015639879,4.89331215620041
4827244,"Holiday Inn - the niu, Fender Amsterdam",3,4,8.4,4817,244.4,USD,52.3689672,4.9463418
6331862,Holiday Inn Express Amsterdam - North Riverside by IHG,4,3,8.2,12096,233.49,USD,52.3841044464671,4.91952350926207
11524,Mövenpick Hotel Amsterdam City Centre,5,4,8.5,6343,383.23,USD,52.3778244039078,4.91414219141006
14238858,Hotel V Oosterpark,6,4,8.9,134,439.0,USD,52.3618697208272,4.92270692381791
535637,Hans Brinker Hostel Amsterdam,7,0,8.0,12687,359.75,USD,52.3636789,4.88805460000003
9371917,Citadines Canal Amsterdam,8,4,8.8,1735,406.07,USD,52.361026,4.893588
10422,ibis Amsterdam Centre,9,3,7.7,9837,374.75,USD,52.3795419603305,4.89696532487869
10643,Renaissance Amsterdam Hotel,10,0,8.0,660,495.09,USD,52.3777675899871,4.89438101649284
298608,Hotel Van Gogh,11,3,8.2,4758,363.57,USD,52.3590558708137,4.88014921545982
1392565,Mercure Amsterdam Sloterdijk Station,12,4,8.5,5026,250.07,USD,52.387911,4.834296
1926560,Ruby Emma Hotel Amsterdam,13,4,8.7,8811,243.83,USD,52.338347,4.92086
545708,Hampton By Hilton Amsterdam Arena Boulevard,14,3,8.1,13132,235.57,USD,52.3130603489422,4.94809359312057
10442,Park Plaza Victoria Amsterdam,15,4,8.6,8717,489.82,USD,52.3773479298031,4.89777535200119
7060204,Inntel Hotels Amsterdam Landmark,16,4,8.2,10359,291.52,USD,52.3734396516721,4.92843508863831
10130,"Apollo Hotel Amsterdam, a Tribute Portfolio Hotel",17,4,8.5,1343,283.23,USD,52.3485731229379,4.88510727882385
288883,DoubleTree by Hilton Amsterdam Centraal Station,18,4,8.3,1052,318.95,USD,52.3767126229996,4.90566909313202
1042748,Holiday Inn Express Amsterdam Arena Towers by IHG,19,3,7.9,17901,210.65,USD,52.3095778808935,4.94186959259036
11616,ITC Hotel,0,2,7.2,2144,466.54,USD,52.3622245746876,4.89858202636242
3041919,Holiday Inn Express Amsterdam - City Hall by IHG,1,3,8.3,3203,517.74,USD,52.370508,4.90835
2007116,"Sir Adam Hotel, part of Sircle Collection",2,4,8.7,1361,369.27,USD,52.3837837705751,4.90240858888546
10170543,Bob W Amsterdam Noord,3,4,8.6,3464,402.02,USD,52.3965941042896,4.90684051779097
2742213,Monet Garden Hotel Amsterdam,4,4,9.1,3901,385.54,USD,52.3697879175963,4.90726228255619
10002879,Bob W Oosterpark,5,4,8.6,978,286.66,USD,52.3549487,4.9285033
341228,Holiday Inn Express Amsterdam - Sloterdijk Station by IHG,6,3,8.1,9671,201.77,USD,52.3882024042909,4.83745515346527
2593669,Via Amsterdam,7,3,8.1,15319,180.16,USD,52.326207,4.953709
3693027,Postillion Hotel Amsterdam,8,4,8.5,10289,231.36,USD,52.3336117162739,4.92219427514647
235613,Hotel Hortus,9,0,8.0,3553,241.1,USD,52.3667708460243,4.90905001759529
2293774,Park Inn by Radisson Amsterdam City West,10,4,8.4,20821,225.43,USD,52.390137,4.842565
1092100,XO Hotels Couture,11,4,8.7,9124,201.28,USD,52.3511038699022,4.84125409510648
5737589,Clayton Hotel Amsterdam American,12,4,8.5,4538,451.23,USD,52.363893,4.881296
866477,DoubleTree by Hilton Amsterdam - NDSM Wharf,13,4,8.5,3036,321.46,USD,52.4006568133759,4.89350185850526
4609378,Olympic Hotel,14,4,8.6,8693,261.53,USD,52.341453,4.853175
388835,"Sir Albert Hotel, part of Sircle Collection",15,4,8.5,552,403.53,USD,52.3545448464899,4.88731205463409
293614,The Concert Hotel,16,3,7.7,2482,195.42,USD,52.3549105780971,4.87704757601023
3555133,Van der Valk Hotel Amsterdam - Amstel,17,4,8.8,5664,227.27,USD,52.3333118146981,4.91446652778632
10423,ibis Amsterdam Centre Stopera,18,3,7.9,3692,350.11,USD,52.3700479003282,4.90765661001205
11286,ibis Styles Amsterdam City,19,3,8.2,2292,392.11,USD,52.3579747412563,4.90066040307283
11675,Stanley Collection Hotel Hegra Amsterdam,0,3,8.2,737,404.7,USD,52.3714185900611,4.88726913928986
4518699,Leonardo Royal Hotel Amsterdam,1,4,8.6,9065,263.95,USD,52.332426,4.917847
11450,ibis Styles Amsterdam Amstel,2,3,8.0,2237,392.11,USD,52.3578952935714,4.90029025822878
2570375,Joy Hotel,3,3,7.8,7274,198.56,USD,52.3052759309378,4.95023131370544
10118,Mercure Amsterdam City Hotel,4,4,8.3,3734,219.53,USD,52.3352390967979,4.9135098606348
2751930,Pestana Amsterdam Riverside,5,5,8.5,3780,522.03,USD,52.3533287816013,4.90716399999997
1384024,The Social Hub Amsterdam City,6,4,8.6,10905,244.85,USD,52.3545938706784,4.91263214907383
1438403,Motel One Amsterdam,7,3,8.6,12367,280.44,USD,52.3389789,4.89257459999999
6348927,Van der Valk Hotel Amsterdam Zuidas -Rai,8,4,8.7,5555,274.1,USD,52.336339,4.887724
10627,Avani Museum Quarter Amsterdam Hotel,9,4,8.8,1109,373.43,USD,52.3557710388443,4.88620162010193
1727371,Hampton by Hilton Amsterdam Centre East,10,4,8.4,2927,383.05,USD,52.37133354,4.934809346
338622,Crowne Plaza Amsterdam - South by IHG,11,4,8.7,1286,238.57,USD,52.3358045267172,4.87454742193222
2912244,Residence Inn by Marriott Amsterdam Houthavens,12,4,8.6,1269,369.0,USD,52.401722,4.874767
10087,Inntel Hotels Amsterdam Centre,13,4,8.2,5389,353.11,USD,52.3761845581983,4.89444941282272
