hotel_id,name,ranking_position,stars,review_score,review_count,price,currency,latitude,longitude
2193502,Hyatt Regency Amsterdam,0,5,8.4,2869,846.22,USD,52.361798,4.911744
10014507,Chasse Residency Hotel,1,4,8.9,3874,397.69,USD,52.351902,4.924964
10502,Swissôtel Amsterdam,2,4,8.1,3679,505.87,USD,52.3735015639879,4.89331215620041
4827244,"Holiday Inn - the niu, Fender Amsterdam",3,4,8.4,4817,258.11,USD,52.3689672,4.9463418
6331862,Holiday Inn Express Amsterdam - North Riverside by IHG,4,3,8.2,12096,300.75,USD,52.3841044464671,4.91952350926207
1384024,The Social Hub Amsterdam City,5,4,8.6,10905,382.91,USD,52.3545938706784,4.91263214907383
11524,Mövenpick Hotel Amsterdam City Centre,6,4,8.5,6343,664.94,USD,52.3778244039078,4.91414219141006
535637,Hans Brinker Hostel Amsterdam,7,0,8.0,12687,230.56,USD,52.3636789,4.88805460000003
9371917,Citadines Canal Amsterdam,8,4,8.8,1735,555.81,USD,52.361026,4.893588
10422,ibis Amsterdam Centre,9,3,7.7,9837,374.75,USD,52.3795419603305,4.89696532487869
10643,Renaissance Amsterdam Hotel,10,0,8.0,660,538.23,USD,52.3777675899871,4.89438101649284
1392565,Mercure Amsterdam Sloterdijk Station,11,4,8.5,5026,352.85,USD,52.387911,4.834296
10442,Park Plaza Victoria Amsterdam,12,4,8.6,8717,552.0,USD,52.3773479298031,4.89777535200119
7060204,Inntel Hotels Amsterdam Landmark,13,4,8.2,10359,368.11,USD,52.3734396516721,4.92843508863831
10130,"Apollo Hotel Amsterdam, a Tribute Portfolio Hotel",14,4,8.5,1343,405.05,USD,52.3485731229379,4.88510727882385
288883,DoubleTree by Hilton Amsterdam Centraal Station,15,4,8.3,1052,484.96,USD,52.3767126229996,4.90566909313202
1042748,Holiday Inn Express Amsterdam Arena Towers by IHG,16,3,7.9,17901,296.94,USD,52.3095778808935,4.94186959259036
11616,ITC Hotel,17,2,7.2,2144,466.54,USD,52.3622245746876,4.89858202636242
3041919,Holiday Inn Express Amsterdam - City Hall by IHG,18,3,8.3,3203,461.9,USD,52.370508,4.90835
379553,MEININGER Hotel Amsterdam City West,19,0,8.1,8536,341.48,USD,52.390589,4.837452
